

 SOLUTION AT ALPHA =    0.00000

    J    X(J)      Y(J)      CP(J)      UE(J)
  130   0.07143   0.04117  -0.39109   1.17944
  131   0.08067   0.04318  -0.39901   1.18280
  132   0.09043   0.04510  -0.40507   1.18536
  133   0.10068   0.04692  -0.40894   1.18699
  134   0.11142   0.04863  -0.41052   1.18765
  135   0.12264   0.05022  -0.41079   1.18777
  136   0.13431   0.05170  -0.41000   1.18744
  137   0.14644   0.05306  -0.40724   1.18627
  138   0.15899   0.05430  -0.40349   1.18469
  139   0.17196   0.05542  -0.39890   1.18275
  140   0.18532   0.05642  -0.39414   1.18074
  141   0.19907   0.05730  -0.38898   1.17855
  142   0.21319   0.05805  -0.38247   1.17578
  143   0.22765   0.05868  -0.37517   1.17268
  144   0.24245   0.05919  -0.36778   1.16952
  145   0.25756   0.05957  -0.36041   1.16637
  146   0.27296   0.05983  -0.35230   1.16288
  147   0.28865   0.05997  -0.34344   1.15907
  148   0.30459   0.06000  -0.33430   1.15512
  149   0.32077   0.05991  -0.32506   1.15111
  150   0.33717   0.05971  -0.31599   1.14716
  151   0.35377   0.05940  -0.30675   1.14313
  152   0.37054   0.05898  -0.29706   1.13888
  153   0.38747   0.05846  -0.28692   1.13443
  154   0.40454   0.05785  -0.27667   1.12990
  155   0.42173   0.05714  -0.26686   1.12555
  156   0.43901   0.05634  -0.25726   1.12128
  157   0.45636   0.05546  -0.24719   1.11678
  158   0.47377   0.05450  -0.23702   1.11222
  159   0.49121   0.05347  -0.22734   1.10785
  160   0.51563   0.05190  -0.21265   1.10120
  161   0.54697   0.04972  -0.19585   1.09355
  162   0.57812   0.04737  -0.17858   1.08562
  163   0.60896   0.04487  -0.16177   1.07785
  164   0.63937   0.04225  -0.14556   1.07031
  165   0.66923   0.03955  -0.13013   1.06308
  166   0.69843   0.03677  -0.11417   1.05554
  167   0.72685   0.03392  -0.09850   1.04809
  168   0.75436   0.03104  -0.08211   1.04025
  169   0.78087   0.02813  -0.06314   1.03109
  170   0.80627   0.02524  -0.04423   1.02188
  171   0.83046   0.02239  -0.02567   1.01276
  172   0.85335   0.01963  -0.00602   1.00300
  173   0.87485   0.01695   0.01409   0.99293
  174   0.89487   0.01441   0.03491   0.98239
  175   0.91332   0.01201   0.05676   0.97120
  176   0.93015   0.00977   0.08033   0.95899
  177   0.94527   0.00773   0.10500   0.94605
  178   0.95864   0.00589   0.13215   0.93159
  179   0.97020   0.00427   0.16295   0.91491
  180   0.97991   0.00289   0.19703   0.89609
  181   0.98771   0.00178   0.23580   0.87418
  182   0.99360   0.00093   0.28403   0.84615
  183   0.99803   0.00028   0.35947   0.80033


    CL =  -0.00001    CM =   0.00001
